,Date,Confirmed,T,N,N_squared
0,1/22/2020,555,0,0,0
1,1/23/2020,653,1,555,308025
2,1/24/2020,941,2,1208,1459264
3,1/25/2020,2019,3,2149,4618201
4,1/26/2020,2794,4,4168,17372224
5,1/27/2020,4473,5,6962,48469444
6,1/28/2020,6057,6,11435,130759225
7,1/29/2020,7783,7,17492,305970064
8,1/30/2020,9776,8,25275,638825625
9,1/31/2020,11374,9,35051,1228572601
